,RequestId,RequestName,RequestNameCode
0,a,成都通发众好物业自贡分,"['0532000', '0476270', '0373020', '0234070', '0808800', '0474470', '0275200', '0321000', '0260000', '0108020', '0802270']"
1,b,固原宝发农牧,"['0606040', '0712960', '0301030', '0234070', '0407320', '0285400']"
2,c,富士康电子工业发展（昆山）,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
3,d,广东华科大建筑技术开发,"['0002000', '0409040', '0244010', '0249000', '0408000', '0154000', '0881170', '0540470', '0439000', '0104400', '0234070']"
4,e,宁波能士通信设备,"['0302010', '0341470', '0222120', '0401000', '0373020', '0202610', '0377470', '0276040']"
5,f,浙江全思科技股份,"['0321210', '0311120', '0801040', '0603300', '0249000', '0540470', '0772470', '0282270']"
6,g,广州丹力酒业,"['0002000', '0320000', '0774400', '0400270', '0311640', '0321000']"
7,h,北京市电信工程设计院广州分,"['0121100', '0009060', '0002270', '0507160', '0202610', '0101020', '0269140', '0377470', '0347000', '0732120', '0002000', '0320000', '0802270']"
8,i,云南牟定兴宏铜业,"['0107320', '0402270', '0235000', '0308010', '0908010', '0307320', '0877200', '0321000']"
9,j,东莞新乐天牙科器材,"['0409040', '0442120', '0029210', '0729040', '0108040', '0712400', '0249000', '0666680', '0449000']"
10,k,新乐天,"['0029210', '0729040', '0108040']"
